,price_per_bushel_january,price_per_bushel_february,price_per_bushel_march,price_per_bushel_april,price_per_bushel_may,price_per_bushel_june,price_per_bushel_july,price_per_bushel_august,price_per_bushel_september,price_per_bushel_october,price_per_bushel_november,price_per_bushel_december,year
0,0.08427910493640978,0.08341704651287872,0.08454643594883514,0.0874178817605485,0.08751454317515281,0.08704311743423486,0.08623531443596102,0.08505899391154406,0.08247972902062671,0.07982373298231574,0.07705844463674798,0.0779290990844453,1960
1,0.08153293009950884,0.08386927006731439,0.0830621774492666,0.0801022507253385,0.08254858890990822,0.08312513346376862,0.08328053541535513,0.08152674220312867,0.07931132437472656,0.0800237213809334,0.07983895573436234,0.07895413182928891,1961
2,0.07760686726234031,0.0762579909667546,0.07871773700020854,0.08108529860967698,0.08163090277296624,0.08044762910780892,0.07884444387296441,0.07678407994206468,0.07742663765885137,0.07689065049021467,0.07679943863870985,0.0796880448942074,1962
3,0.0817492321588111,0.08252216497188533,0.08336957054634361,0.08338992113313279,0.08557930509520213,0.08955021334244101,0.09064613869237201,0.08754452426036644,0.08871685681342407,0.08417799023314279,0.08355308285528464,0.08446511046849449,1963
4,0.08468478842488858,0.08328789923171404,0.08438514666229084,0.0863401988329829,0.08732130114048284,0.08659266489908223,0.08431407875821104,0.08463289515874035,0.0871271198865089,0.08513858818926963,0.08490866073266884,0.08688987178702194,1964
5,0.08736125215465676,0.08833048900920999,0.09001944147351908,0.09189144611338018,0.09213628141237785,0.0913105291998814,0.08858526399914135,0.0842380416547083,0.0838202784221458,0.07931873365106569,0.07974682496067831,0.08485428358536395,1965
6,0.08634195568489193,0.08569810502251365,0.08291812149194916,0.08501552403343741,0.08498626803823241,0.08677563620993824,0.09313670053846783,0.09787391969647881,0.0946679241563576,0.09090780936279244,0.09318705921873877,0.09567190038525167,1966
7,0.09230366802546669,0.09007844134618347,0.09124143655739249,0.08923961874182415,0.0864573859701196,0.08677216521422322,0.08319318460107533,0.07875859320251893,0.07664369759286281,0.07429384083947424,0.073827752614602,0.07609817922360024,1967
8,0.07451840625828673,0.07431774609427877,0.07496237526234562,0.07304980781130288,0.07208783878588237,0.07134157193825905,0.06908738445007723,0.06602424255929801,0.06531729790524934,0.06621713687371433,0.07234473778509436,0.07221233192806575,1968
9,0.070023057198221,0.06879849485030261,0.0682613305999218,0.071364617135443,0.07594857523228336,0.07605122757576473,0.07504240282086164,0.07297519700730583,0.07136107739946088,0.07051107905905969,0.07061382050344679,0.07061447628611296,1969
10,0.06804565263451354,0.06817719289218435,0.0686532039401334,0.07078123617070585,0.07249580984523894,0.07442173784499363,0.07605182084120746,0.08128450565053812,0.08635146669232382,0.08372541229629367,0.0825507110829244,0.08480081781822427,1970
11,0.08416410642451408,0.08201325397517566,0.08060098073072122,0.07857241871143499,0.07860582753314624,0.08348436077940644,0.078479310056685,0.06682015010429357,0.06256722050828402,0.06209269981603206,0.06202549742610234,0.06428575490725053,1971
12,0.06339890489328731,0.062463533804867716,0.06328439798792344,0.06493292837570477,0.0647481361702685,0.06363421624523258,0.0650919582203216,0.06674424770142999,0.07236196846128047,0.07064077257370849,0.07137389778734968,0.08094193730756498,1972
13,0.077447454636737,0.07915047620531922,0.07977836361113767,0.07855864708366792,0.09328304536822302,0.11191399711372144,0.12064739121358642,0.14739100326616672,0.12229283629101471,0.12063289866944554,0.12333856316026341,0.13070878462138297,1973
14,0.1264931850730551,0.13829454916753653,0.13235351757753186,0.11815398718051495,0.11726454291176186,0.12437114998926072,0.14659826179025462,0.15906220365316615,0.15328940413898975,0.16850380943916082,0.16135145053258845,0.1563632498500267,1974
15,0.13228272310235054,0.1203885587265802,0.11504766897877035,0.11723887778294348,0.11141143732174516,0.11327295644589863,0.11623073759783022,0.12595154136144138,0.12371868293013812,0.11801544794737458,0.10917908653132657,0.10645863903027981,1975
16,0.10235175831905702,0.10291755329103738,0.10285048574958,0.10221493051505666,0.10870969027827297,0.11454353028519672,0.11316115483508414,0.1067505649028135,0.10968572861347542,0.10184549544425572,0.09321736217033406,0.09445223310143716,1976
17,0.0933331390996654,0.0918766580035998,0.09181058841504117,0.09099306473194008,0.08744022920887218,0.08456075618367458,0.0762060733397284,0.0681276253685919,0.07029431778733002,0.0748815231462278,0.07978567826848547,0.07933595225290725,1977
18,0.07491730828243538,0.07564836514381099,0.08041061966808975,0.08596173253918743,0.08620252383367813,0.08601642330639037,0.07829970797285433,0.07332162620184005,0.07220016824174948,0.07697345686818322,0.07655340139230514,0.07543375985262286,1978
19,0.06962339102466485,0.0710241480498706,0.07270570323211067,0.07612014055338205,0.07926969700278431,0.08610188753253016,0.0921810140714994,0.08461584427269722,0.08352945714446106,0.0837930632587784,0.08051981898704133,0.08320931490784228,1979
20,0.07255174880820617,0.07218126616257997,0.06973957760396965,0.07087055778917203,0.0724709420066729,0.0738066957630122,0.0827872340429289,0.09042485865143159,0.09346180822952377,0.09547406811820104,0.1005779523567512,0.09836377248627838,1980
21,0.0892600805274687,0.08644699256936364,0.08495474120228524,0.08733528867068877,0.08402273330826755,0.0821578997303281,0.0816617738551856,0.07509258438283177,0.0684786111776354,0.06972476722194937,0.06679598897880047,0.06238101388330164,1981
22,0.061631748827468975,0.06071005254995847,0.05934754500929074,0.062936423358538,0.061922677797644474,0.06168567211408579,0.0591891829012614,0.05271899988237503,0.05043306826491154,0.04977131582234869,0.05261859985824562,0.05362615830280625,1982
23,0.05555901096445351,0.059768224395404974,0.06325208649585382,0.06848442378640153,0.06780091528964177,0.06806273239300238,0.07144273196274918,0.07732317706959284,0.07817669155503977,0.07620370420690958,0.07653210104424697,0.07331589709762525,1983
24,0.06948963772270202,0.06814234375434308,0.0726056702513683,0.07434401846599918,0.07348331072740638,0.07325481530326189,0.06975197590847426,0.062434207012181143,0.062342598757835946,0.05845579139490452,0.057409588882617726,0.05495722653742958,1984
25,0.054861610517779186,0.05445787855456203,0.05530518988094847,0.057360678529463915,0.05664864866418379,0.05583872428777851,0.053258803108117335,0.0466311023537972,0.04553631120070346,0.04521162455227446,0.04824427274240083,0.05003619081010605,1985
26,0.04913754807564912,0.047652519524739076,0.046142811893583935,0.045850256509347764,0.04848598953241025,0.04636853192692079,0.038918457374354655,0.03209582551676476,0.031920554976713054,0.03367109781474998,0.03392457290123022,0.03208387525267032,1986
27,0.030260371876927,0.02881516172164597,0.030379923944920954,0.032248962785694425,0.035716896380266504,0.03627502396436222,0.03211031559572922,0.030237540752830937,0.03246814157701667,0.03515702532851254,0.035136757516985445,0.03569532096799572,1987
28,0.03611721885114617,0.036868604514545884,0.03733077985191579,0.03772601392186091,0.03832659562652396,0.05327169299016884,0.05783364744179703,0.05348086167553532,0.05260138665511992,0.05319406596893215,0.049837744965899204,0.04956116128612016,1988
29,0.04881392617400267,0.04743241763705461,0.04857197056129092,0.047138597718101555,0.04803428084602396,0.04582555543572657,0.04442976090721013,0.040424150686531095,0.04108768951714929,0.042089711280209996,0.04193085057304403,0.04158460276330307,1989
30,0.040027013981629,0.0402336300073587,0.041752806776250546,0.04548582934430885,0.04748774898606985,0.04750400449119972,0.045884775563540675,0.04201270638870382,0.039023678575525134,0.038319361388384265,0.037780683789404176,0.03823446524594077,1990
31,0.037884039493570075,0.038493642179534986,0.0397551347877391,0.040980698566572486,0.03909031738158453,0.038516289216171916,0.03825702134431361,0.03999639036534199,0.03982718396476078,0.04006734788816637,0.0390566580438345,0.0394326289477373,1991
32,0.0400108261363644,0.041077358914464304,0.041653147198588834,0.03952537945226717,0.0394858131774404,0.039820104980751246,0.036274104235647316,0.03405533100334872,0.034410536541845185,0.03248617017277484,0.03283653199938272,0.03321550199933257,1992
33,0.03284983780018804,0.03207226220849702,0.03307215645872638,0.03455787482483609,0.034180058113176696,0.03295618681296083,0.035821157337542646,0.03588764589084299,0.035655564900066244,0.037420476592605,0.04135947412866869,0.043916587948841415,1993
34,0.044499371123832926,0.04278998750822328,0.041322242410210513,0.039323197151432,0.03893716864875349,0.039467580760779115,0.03402864755711971,0.03220614830059786,0.03233993416398515,0.03171120913610306,0.031769002801618686,0.03259037338121952,1994
35,0.03328871834534543,0.03333399643207912,0.03452052009729493,0.03556517502290683,0.036699421661351005,0.0390556386841388,0.04099898924585976,0.04038748422304948,0.042891442918130594,0.046129168048615596,0.046966376581606545,0.04919842935331673,1995
36,0.050407996158454746,0.05183423217863317,0.054610693665854346,0.06284938303363392,0.06884985349690709,0.06519769085684456,0.06508426180694556,0.050531219917397945,0.04763577754058912,0.039636288927402556,0.037221316180573415,0.0370889973346606,1996
37,0.03639592690779168,0.03792785075383792,0.041351527898562036,0.040864952161134206,0.03860937899107808,0.03625148024897404,0.03462684126346334,0.03575337818274082,0.03599110871435213,0.03804426799357435,0.037518525252040996,0.036273974232484574,1997
38,0.03619302155374337,0.036031530034974925,0.035654143116951253,0.03336116813646041,0.032572883338735086,0.032309904581146826,0.03102693307013822,0.027733292429063826,0.026669506075769848,0.029278808380967726,0.029298873812182553,0.02893982420211119,1998
39,0.028368556006671885,0.02816014099290095,0.028655454288294753,0.02863553391687432,0.02856026337057854,0.028468927174085234,0.025217970603693074,0.027995883029380508,0.02708337109884946,0.02637118394238625,0.02568081433557398,0.025434587703798955,1999
40,0.027233194522004765,0.027806191698230613,0.028780617234884686,0.028828139409885524,0.029812545195999827,0.026394995488474987,0.023010110361312598,0.022566151103105423,0.023760388431840366,0.025787750866758996,0.026685598562351937,0.027431052662966728,2000
41,0.027020902272906586,0.0259811589967688,0.026143933445902056,0.025396364168158728,0.024230928573803347,0.023807304650302757,0.026054770505892024,0.026738016953779413,0.02665990722008833,0.025647079090583908,0.025244040813693157,0.025932547622819498,2001
42,0.0254805778340718,0.024856141738473152,0.0247316456938933,0.024172214658791283,0.024906459282552366,0.025668117542360067,0.028123084416665185,0.031438894565620025,0.03259619082907535,0.03057929110365583,0.029460980061312026,0.028850303435208294,2002
43,0.027898121565632886,0.02803359044121714,0.027645528558033074,0.02831440613123034,0.029046784739857726,0.0283807294349018,0.025586106593836228,0.026118681439468844,0.027206665846504906,0.026671723307456388,0.028113133843492767,0.029233760010846415,2003
